"","gene","adj.pval.methgroup"
"327","Pocillopora_acuta_HIv2___RNAseq.g24622.t1",0
"328","Pocillopora_acuta_HIv2___RNAseq.g24623.t1",0.00024781
"329","Pocillopora_acuta_HIv2___TS.g21024.t2",0
"330","Pocillopora_acuta_HIv2___RNAseq.g24649.t1",0.00744844
"331","Pocillopora_acuta_HIv2___RNAseq.g24650.t1",5.957e-05
"332","Pocillopora_acuta_HIv2___RNAseq.g24660.t1",0.01223917
"333","Pocillopora_acuta_HIv2___RNAseq.g24666.t1",0.00299859
"334","Pocillopora_acuta_HIv2___RNAseq.g24667.t1",0
"335","Pocillopora_acuta_HIv2___RNAseq.g24672.t1",0.00086423
"336","Pocillopora_acuta_HIv2___RNAseq.g24687.t1",0
"337","Pocillopora_acuta_HIv2___RNAseq.g24688.t1",0.01292058
"338","Pocillopora_acuta_HIv2___RNAseq.g24694.t1",0.01792204
"339","Pocillopora_acuta_HIv2___RNAseq.g24697.t1",4.37e-06
"340","Pocillopora_acuta_HIv2___RNAseq.g24699.t1",0.00052299
"341","Pocillopora_acuta_HIv2___RNAseq.g24700.t1",0
"342","Pocillopora_acuta_HIv2___TS.g21128.t1",0.00119481
"343","Pocillopora_acuta_HIv2___RNAseq.g24726.t1",0
"344","Pocillopora_acuta_HIv2___TS.g21139.t1",0.0065084
"345","Pocillopora_acuta_HIv2___TS.g21140.t1",0.00525111
"346","Pocillopora_acuta_HIv2___RNAseq.g24738.t1",0.0385309
"347","Pocillopora_acuta_HIv2___RNAseq.g24740.t1",9.853e-05
"348","Pocillopora_acuta_HIv2___RNAseq.g24744.t1",0
"349","Pocillopora_acuta_HIv2___RNAseq.g24746.t1",0
"350","Pocillopora_acuta_HIv2___TS.g21155.t1",0.02210543
"351","Pocillopora_acuta_HIv2___RNAseq.g24761.t1",1.2e-07
"352","Pocillopora_acuta_HIv2___RNAseq.g24762.t1",0.00926134
"353","Pocillopora_acuta_HIv2___RNAseq.g24765.t1",0.03459009
"354","Pocillopora_acuta_HIv2___RNAseq.g24766.t1",0.04621205
"355","Pocillopora_acuta_HIv2___RNAseq.g24776.t1",0.0324661
"356","Pocillopora_acuta_HIv2___RNAseq.g24781.t1",0.0320586
"357","Pocillopora_acuta_HIv2___RNAseq.g24799.t2",0
"358","Pocillopora_acuta_HIv2___RNAseq.g24807.t1",0
"359","Pocillopora_acuta_HIv2___RNAseq.g24816.t1",0.02224734
"360","Pocillopora_acuta_HIv2___TS.g21233.t1",0.00828131
"361","Pocillopora_acuta_HIv2___RNAseq.g24835.t1",0.00821334
"362","Pocillopora_acuta_HIv2___RNAseq.g24842.t1",0
"363","Pocillopora_acuta_HIv2___TS.g21251.t2",0
"364","Pocillopora_acuta_HIv2___RNAseq.g24860.t1",0
"365","Pocillopora_acuta_HIv2___RNAseq.g24868.t1",2.3e-07
"366","Pocillopora_acuta_HIv2___RNAseq.g24877.t1",1e-08
"367","Pocillopora_acuta_HIv2___RNAseq.g24879.t1",0.01324645
"368","Pocillopora_acuta_HIv2___RNAseq.g24880.t1",0.00781315
"369","Pocillopora_acuta_HIv2___RNAseq.g24882.t1",0.02262688
"370","Pocillopora_acuta_HIv2___TS.g21285.t2",0.00232872
"371","Pocillopora_acuta_HIv2___TS.g21287.t2",0.01339296
"372","Pocillopora_acuta_HIv2___RNAseq.g24892.t1",1e-08
"373","Pocillopora_acuta_HIv2___RNAseq.g24893.t1",0.01889644
"374","Pocillopora_acuta_HIv2___RNAseq.g24895.t1",0.02299484
"375","Pocillopora_acuta_HIv2___RNAseq.g24903.t1",0.00586378
"376","Pocillopora_acuta_HIv2___RNAseq.g24912.t1",0.00195929
"377","Pocillopora_acuta_HIv2___RNAseq.g24931.t1",0
"378","Pocillopora_acuta_HIv2___RNAseq.g24939.t1",0.00040352
"379","Pocillopora_acuta_HIv2___TS.g21346.t1",0
"380","Pocillopora_acuta_HIv2___RNAseq.g24949.t1",0.00430607
"381","Pocillopora_acuta_HIv2___RNAseq.g24960.t1",5.24e-06
"382","Pocillopora_acuta_HIv2___RNAseq.g24995.t2a",4.56e-06
"383","Pocillopora_acuta_HIv2___RNAseq.g25004.t1",0.02570492
